age,prior_offenses,employment_status,education_level,drug_history,marital_status,housing_stability,mental_health_issues,age_at_first_offense,community_support,employment_type,reoffended,predicted_risk
30,0,employed,high_school,0,single,unstable,0,29,medium,part_time,1,0.3879349
28,2,unemployed,college,1,single,stable,0,11,high,unemployed,1,0.8313698
18,0,unemployed,none,0,married,stable,0,19,low,unemployed,1,0.8808721
26,0,employed,none,0,single,stable,0,28,medium,unemployed,0,0.74545115
27,2,employed,high_school,0,married,stable,0,18,low,unemployed,1,0.7572392
23,1,employed,high_school,0,single,unstable,0,17,low,unemployed,1,0.7479432
28,0,employed,high_school,1,single,stable,0,10,high,unemployed,0,0.723056
33,1,employed,high_school,1,single,unstable,0,15,high,unemployed,1,0.9517263
45,2,employed,high_school,0,married,stable,0,21,low,full_time,1,0.6670192
31,3,employed,none,1,single,stable,1,28,low,part_time,1,0.9748123
32,4,unemployed,high_school,0,married,stable,0,26,low,part_time,1,0.94004375
29,2,employed,college,0,single,stable,0,11,high,unemployed,1,0.6846199
18,2,unemployed,high_school,0,single,stable,0,20,low,full_time,1,0.9014312
29,2,employed,high_school,0,single,stable,1,27,low,full_time,1,0.85876256
30,0,employed,high_school,0,single,stable,0,20,low,full_time,1,0.7031802
49,2,employed,college,1,single,stable,0,27,medium,part_time,0,0.1130181
28,3,employed,high_school,1,single,unstable,1,17,high,part_time,1,0.9709282
32,1,employed,high_school,0,married,stable,0,24,low,full_time,0,0.2204852
29,6,unemployed,college,0,married,stable,1,18,medium,full_time,1,0.99670345
20,1,unemployed,high_school,1,single,stable,1,24,low,full_time,1,0.88803023
39,3,employed,none,1,single,stable,0,16,medium,full_time,0,0.89869773
36,1,employed,high_school,1,single,stable,0,29,medium,full_time,1,0.81613487
36,1,unemployed,none,0,single,unstable,0,22,low,full_time,1,0.76555395
22,3,employed,high_school,1,single,unstable,0,22,low,full_time,1,0.97885305
41,3,employed,college,0,married,stable,0,10,high,full_time,1,0.7585525
18,3,employed,high_school,0,single,stable,0,29,low,full_time,1,0.9021519
34,1,unemployed,college,0,single,stable,0,13,medium,unemployed,1,0.68537265
47,6,unemployed,none,0,single,stable,0,13,medium,full_time,1,0.92968845
22,0,employed,college,0,single,stable,0,13,low,full_time,1,0.71193165
25,1,unemployed,high_school,0,married,stable,0,22,medium,full_time,1,0.587507
30,4,unemployed,high_school,0,single,stable,0,11,high,full_time,1,0.988775
25,0,employed,none,1,single,stable,0,24,medium,full_time,1,0.8430603
18,5,employed,college,0,married,stable,0,13,low,full_time,1,0.96765846
30,2,employed,none,0,single,stable,0,15,medium,part_time,1,0.86207485
21,1,unemployed,none,0,married,stable,0,12,medium,part_time,1,0.77535963
33,0,employed,high_school,1,married,stable,1,16,medium,part_time,1,0.9718084
22,0,unemployed,high_school,0,single,unstable,0,15,medium,unemployed,1,0.9031123
42,4,employed,high_school,0,married,stable,0,12,low,full_time,0,0.52323115
23,2,unemployed,none,0,single,unstable,0,13,medium,unemployed,1,0.98264474
27,2,employed,high_school,1,married,stable,0,19,medium,full_time,1,0.685419
36,1,employed,high_school,1,single,stable,0,18,medium,part_time,1,0.8096875
20,0,unemployed,high_school,0,single,stable,0,15,medium,full_time,1,0.800795
31,2,unemployed,high_school,0,married,stable,0,29,low,unemployed,1,0.90345395
40,1,unemployed,college,1,married,unstable,1,20,medium,part_time,1,0.9850572
18,3,employed,high_school,0,divorced,stable,0,16,high,full_time,1,0.9114494
31,0,unemployed,high_school,0,married,stable,0,27,medium,part_time,1,0.69104344
32,1,employed,high_school,0,single,stable,1,13,medium,full_time,1,0.66047144
36,1,employed,college,0,single,unstable,0,14,medium,unemployed,1,0.72627395
20,4,employed,college,0,single,stable,0,13,high,part_time,1,0.9735589
19,3,employed,college,0,single,unstable,0,13,high,full_time,1,0.9840316
34,2,employed,high_school,0,single,unstable,0,22,medium,full_time,1,0.7543364
32,2,unemployed,none,1,divorced,stable,0,25,low,full_time,0,0.64363766
32,2,employed,high_school,0,single,unstable,0,23,high,part_time,0,0.410525
32,2,unemployed,high_school,1,single,unstable,1,20,medium,full_time,1,0.98751163
24,2,employed,high_school,0,single,stable,1,11,medium,part_time,1,0.84085464
31,1,employed,college,0,married,stable,1,23,high,unemployed,0,0.45046964
32,0,employed,college,0,married,stable,1,16,medium,full_time,1,0.79546547
24,4,unemployed,college,1,married,stable,0,20,low,unemployed,1,0.99528825
44,0,unemployed,high_school,1,single,stable,0,13,high,part_time,1,0.8457694
33,3,unemployed,high_school,0,married,stable,0,16,medium,full_time,1,0.89836997
20,1,unemployed,high_school,1,single,stable,0,25,medium,full_time,1,0.588894
35,2,employed,none,0,married,stable,1,15,low,unemployed,1,0.9551861
22,2,employed,college,1,married,stable,0,15,medium,full_time,1,0.76858395
36,5,unemployed,none,1,single,unstable,1,11,low,full_time,1,0.9991239
39,1,employed,high_school,1,single,unstable,1,17,medium,full_time,1,0.91920704
23,1,employed,high_school,0,married,stable,1,16,medium,unemployed,1,0.8527588
37,5,employed,high_school,0,single,stable,1,23,high,part_time,0,0.34799272
33,1,employed,college,0,married,stable,0,18,medium,part_time,1,0.24103029
36,1,employed,high_school,0,single,unstable,0,24,medium,full_time,0,0.440842
45,3,employed,college,0,single,stable,0,27,medium,unemployed,0,0.44761473
28,0,employed,high_school,0,single,stable,0,21,medium,unemployed,1,0.51461405
23,1,employed,high_school,0,single,unstable,0,28,low,full_time,1,0.64280474
22,0,employed,college,0,single,unstable,1,22,high,full_time,0,0.4794048
23,0,employed,high_school,0,single,unstable,1,16,medium,unemployed,0,0.5315005
29,3,unemployed,college,0,married,unstable,0,19,low,unemployed,1,0.98471826
32,3,employed,high_school,1,single,stable,0,19,low,part_time,1,0.94448286
32,1,employed,high_school,0,divorced,stable,0,11,medium,unemployed,0,0.4809488
36,2,unemployed,high_school,0,married,stable,0,23,low,part_time,1,0.76320136
30,0,employed,college,1,married,stable,0,22,low,full_time,1,0.6986982
41,0,employed,none,0,single,unstable,0,15,medium,unemployed,1,0.88346004
27,4,unemployed,college,0,single,stable,0,18,high,part_time,1,0.9817664
51,1,employed,high_school,0,single,stable,0,22,medium,unemployed,0,0.056386404
35,4,unemployed,high_school,0,married,unstable,0,18,low,full_time,1,0.992611
23,4,unemployed,high_school,1,married,stable,0,22,low,part_time,1,0.9836459
21,4,unemployed,high_school,0,single,unstable,0,14,medium,unemployed,1,0.99445456
33,2,employed,high_school,0,single,unstable,0,23,low,full_time,1,0.92254525
28,2,employed,college,0,married,stable,0,14,medium,full_time,0,0.579532
35,3,employed,high_school,0,single,stable,1,18,low,unemployed,1,0.9204052
33,2,employed,high_school,1,married,stable,0,17,high,full_time,0,0.6043349
29,5,employed,high_school,0,married,stable,0,16,medium,part_time,1,0.9289835
23,5,employed,none,0,married,stable,0,17,low,unemployed,1,0.9808169
18,1,employed,high_school,0,single,stable,0,12,high,full_time,1,0.855253
26,2,employed,high_school,0,single,unstable,1,24,low,unemployed,1,0.9620058
36,1,employed,high_school,0,married,stable,0,17,medium,unemployed,0,0.39027458
31,2,employed,none,1,divorced,unstable,0,10,high,full_time,1,0.9907466
20,4,unemployed,high_school,1,single,stable,0,16,medium,full_time,1,0.9855651
31,2,employed,high_school,1,single,stable,0,28,medium,unemployed,1,0.7747313
33,4,employed,high_school,1,married,unstable,0,11,medium,full_time,1,0.99333006
22,1,unemployed,high_school,0,divorced,stable,0,23,low,full_time,1,0.4878108
31,3,employed,none,0,married,stable,0,27,low,full_time,0,0.63603634
30,2,employed,college,1,divorced,stable,0,24,medium,full_time,0,0.47352773
20,3,employed,college,1,single,unstable,0,23,medium,full_time,1,0.9730249
32,3,unemployed,college,1,single,stable,0,28,low,unemployed,1,0.94837517
34,1,employed,none,0,married,stable,0,28,low,unemployed,0,0.38806346
38,3,employed,college,0,married,stable,0,26,high,full_time,1,0.61676866
38,1,employed,college,1,single,unstable,0,28,high,full_time,1,0.9055127
18,3,unemployed,college,1,single,unstable,0,25,medium,part_time,1,0.96650463
22,4,employed,none,1,married,stable,0,29,high,full_time,1,0.7966722
34,2,employed,high_school,0,single,unstable,0,28,medium,unemployed,1,0.7919671
34,3,unemployed,college,0,single,stable,0,10,low,unemployed,1,0.9655057
34,3,employed,high_school,0,married,stable,0,28,low,unemployed,1,0.8304086
60,3,unemployed,high_school,1,married,stable,1,16,low,full_time,1,0.89115363
34,3,employed,high_school,0,married,stable,0,20,high,full_time,1,0.7030271
39,1,unemployed,high_school,0,single,stable,0,14,medium,full_time,1,0.40667236
37,0,employed,none,1,married,stable,0,26,medium,full_time,1,0.8943375
35,4,unemployed,high_school,0,married,stable,1,20,low,full_time,1,0.9946849
27,1,unemployed,none,1,married,unstable,0,17,medium,unemployed,1,0.983412
36,2,employed,high_school,0,married,stable,1,19,medium,unemployed,1,0.86451316
23,1,employed,high_school,1,single,stable,1,21,high,unemployed,1,0.7902214
28,5,employed,high_school,0,single,unstable,0,19,low,unemployed,1,0.9956559
26,1,employed,none,1,single,stable,1,22,medium,full_time,0,0.9386926
30,2,employed,high_school,1,single,stable,0,27,low,part_time,1,0.87255794
48,2,employed,college,0,married,unstable,1,19,medium,full_time,1,0.91999185
18,1,employed,none,0,married,stable,0,28,medium,full_time,0,0.2252517
35,0,employed,none,0,married,stable,0,29,low,part_time,1,0.7379627
18,0,employed,none,0,married,stable,0,26,medium,unemployed,0,0.28432697
26,2,unemployed,college,1,single,unstable,0,29,low,part_time,1,0.94268435
38,2,employed,high_school,0,single,stable,0,25,high,full_time,1,0.5713076
30,3,employed,high_school,0,single,unstable,0,14,low,full_time,1,0.9704361
21,3,employed,none,0,single,stable,0,12,medium,full_time,1,0.9721062
24,0,employed,high_school,1,single,stable,0,24,high,full_time,1,0.42996833
35,3,employed,college,1,married,unstable,0,11,medium,full_time,1,0.98078555
24,1,employed,college,0,divorced,stable,0,22,medium,part_time,0,0.1754314
31,1,employed,high_school,0,single,stable,0,17,medium,unemployed,0,0.44506752
30,3,unemployed,none,0,single,stable,0,26,low,full_time,1,0.8790573
24,0,employed,none,0,married,unstable,0,13,medium,part_time,0,0.43978792
47,1,unemployed,none,0,single,stable,0,28,medium,full_time,1,0.79944354
35,2,unemployed,high_school,0,married,stable,0,18,high,unemployed,1,0.83502644
18,2,unemployed,none,0,married,stable,1,24,high,full_time,1,0.93768
31,1,unemployed,high_school,0,divorced,unstable,0,18,medium,unemployed,1,0.7862881
24,1,employed,high_school,0,single,stable,1,18,medium,unemployed,0,0.49909255
36,0,employed,college,0,married,stable,0,23,high,unemployed,0,0.1720351
23,1,unemployed,high_school,0,single,stable,0,25,medium,full_time,0,0.5363308
29,2,employed,college,1,married,stable,0,26,low,part_time,1,0.77319384
34,1,employed,college,1,single,stable,1,22,medium,full_time,1,0.87005323
36,4,unemployed,none,0,single,stable,0,18,high,full_time,1,0.992042
20,1,unemployed,college,0,married,stable,0,24,medium,full_time,1,0.5443818
27,3,unemployed,high_school,1,married,unstable,0,16,medium,unemployed,1,0.9930996
26,1,unemployed,high_school,1,married,unstable,0,10,low,unemployed,1,0.97844887
24,3,unemployed,high_school,0,married,stable,1,10,high,full_time,1,0.9874664
44,0,employed,college,0,married,unstable,0,14,medium,part_time,0,0.28251943
33,1,unemployed,high_school,0,single,stable,0,18,medium,unemployed,1,0.73296374
19,2,employed,high_school,0,married,unstable,0,21,low,full_time,1,0.9032366
37,1,employed,college,0,married,stable,0,15,low,full_time,0,0.3222974
46,2,unemployed,none,0,married,stable,0,22,medium,full_time,1,0.8152133
38,2,employed,high_school,0,divorced,unstable,0,17,high,unemployed,0,0.5305053
18,2,employed,college,0,single,unstable,1,24,medium,full_time,1,0.8569971
26,4,employed,college,0,married,stable,0,15,low,unemployed,1,0.9848883
40,2,unemployed,college,0,single,stable,1,15,medium,full_time,1,0.6663034
24,3,employed,college,0,single,stable,0,13,low,full_time,1,0.9573453
33,2,unemployed,none,0,married,stable,0,20,low,full_time,0,0.7400067
36,1,employed,college,0,single,stable,0,27,medium,full_time,1,0.22981256
22,2,unemployed,high_school,1,married,stable,0,12,high,full_time,1,0.8812598
29,4,unemployed,high_school,0,single,unstable,0,12,low,full_time,1,0.9948986
18,2,employed,none,1,single,stable,0,21,medium,unemployed,1,0.7942466
21,0,employed,high_school,1,married,stable,0,15,low,full_time,1,0.82419384
27,3,employed,college,0,married,stable,0,15,low,unemployed,1,0.9200543
20,0,unemployed,college,0,divorced,stable,0,17,low,unemployed,1,0.5666306
43,5,unemployed,high_school,0,married,stable,0,24,medium,unemployed,1,0.9099956
18,2,unemployed,none,1,married,stable,0,27,low,unemployed,1,0.8975809
26,3,employed,high_school,1,single,unstable,0,29,medium,part_time,1,0.86041075
31,2,unemployed,college,1,single,unstable,0,25,low,full_time,1,0.97833383
41,5,unemployed,college,0,single,stable,0,15,low,unemployed,1,0.9761979
18,2,unemployed,high_school,0,married,stable,1,26,low,unemployed,1,0.9744596
39,2,unemployed,none,0,married,stable,1,18,high,unemployed,1,0.92155224
30,1,employed,high_school,0,single,unstable,0,28,medium,part_time,0,0.41276556
22,1,employed,high_school,0,married,unstable,0,27,high,part_time,0,0.14675502
33,6,unemployed,college,0,married,stable,0,14,medium,full_time,1,0.9894086
31,1,unemployed,high_school,1,single,stable,0,15,medium,unemployed,1,0.9504666
25,2,employed,high_school,0,single,unstable,0,21,medium,full_time,1,0.8953381
30,0,employed,high_school,0,married,stable,0,20,low,full_time,1,0.537975
26,4,employed,none,0,married,stable,0,25,medium,part_time,1,0.9598567
30,2,employed,college,1,married,unstable,0,29,medium,full_time,1,0.6566021
35,3,employed,high_school,1,single,unstable,0,26,medium,full_time,0,0.9692821
42,3,unemployed,high_school,0,divorced,stable,0,29,medium,unemployed,0,0.586248
20,3,unemployed,high_school,0,single,stable,0,18,medium,unemployed,1,0.9739076
47,2,employed,high_school,0,single,stable,0,10,high,part_time,0,0.1510772
18,1,employed,high_school,1,divorced,stable,0,12,medium,part_time,1,0.8310341
28,2,employed,college,0,single,stable,0,18,medium,unemployed,1,0.48397678
34,3,employed,high_school,0,married,stable,0,28,medium,full_time,1,0.7377322
32,3,unemployed,high_school,0,single,unstable,0,22,high,unemployed,1,0.9564694
25,3,unemployed,none,0,married,unstable,0,23,medium,full_time,0,0.98849666
28,2,employed,high_school,1,divorced,stable,0,29,medium,full_time,0,0.3394317
26,3,unemployed,none,0,single,stable,0,28,low,part_time,1,0.91774404
25,2,unemployed,high_school,0,married,stable,0,16,medium,unemployed,1,0.88222
36,0,unemployed,college,0,single,stable,1,13,low,full_time,1,0.8633916
32,4,employed,college,0,married,stable,0,21,medium,full_time,1,0.95659494
24,3,unemployed,high_school,1,single,stable,0,23,high,part_time,1,0.8145195
37,2,employed,high_school,0,single,unstable,0,11,high,part_time,1,0.46521991
32,3,employed,none,1,single,stable,0,10,medium,part_time,1,0.92302537
36,2,employed,high_school,1,single,unstable,0,27,high,full_time,1,0.9001562
35,1,employed,college,0,divorced,unstable,1,29,low,part_time,1,0.74785864
23,4,employed,high_school,0,single,stable,0,17,high,full_time,1,0.9853462
25,3,employed,high_school,0,single,stable,1,12,medium,full_time,1,0.90097886
35,4,employed,college,1,single,unstable,1,15,medium,part_time,1,0.9954106
34,1,unemployed,college,0,single,unstable,0,22,high,part_time,0,0.44441563
29,2,unemployed,high_school,0,married,stable,1,18,high,full_time,1,0.9520821
30,1,employed,high_school,0,divorced,stable,0,18,low,full_time,0,0.5729749
40,2,unemployed,none,1,single,stable,0,29,medium,part_time,1,0.85303915
25,1,unemployed,none,0,married,unstable,0,18,low,full_time,1,0.8903501
34,1,unemployed,college,0,married,stable,0,24,high,full_time,0,0.3183539
28,5,employed,college,0,single,stable,0,22,medium,full_time,1,0.97517383
28,0,unemployed,college,0,married,unstable,0,25,low,full_time,1,0.6270952
38,2,unemployed,none,1,married,stable,0,11,medium,full_time,1,0.9625937
36,4,unemployed,college,0,married,stable,0,23,medium,unemployed,1,0.9912815
36,2,employed,high_school,1,married,stable,0,15,medium,unemployed,1,0.9188643
40,0,employed,high_school,0,single,unstable,1,11,low,part_time,1,0.8073574
30,5,unemployed,high_school,0,divorced,stable,0,17,low,part_time,1,0.98139477
35,2,employed,none,0,married,stable,0,13,medium,unemployed,1,0.71284485
27,4,employed,college,0,single,stable,0,23,low,unemployed,1,0.9878264
32,3,employed,high_school,0,married,stable,0,20,medium,part_time,1,0.5533392
28,1,unemployed,none,0,single,stable,0,23,medium,full_time,0,0.6187242
30,2,unemployed,none,0,divorced,stable,0,21,low,part_time,1,0.72518796
34,5,employed,none,0,married,stable,0,25,medium,full_time,1,0.9756065
23,1,unemployed,none,0,single,unstable,0,15,medium,part_time,1,0.916728
46,1,employed,high_school,1,single,unstable,1,29,medium,part_time,1,0.90977407
21,1,unemployed,college,0,married,stable,0,10,medium,unemployed,1,0.7411495
20,3,unemployed,none,0,single,stable,0,21,medium,part_time,1,0.950597
39,2,unemployed,none,0,single,stable,0,16,medium,full_time,1,0.8579168
36,1,unemployed,high_school,1,single,unstable,0,17,high,full_time,0,0.9488249
34,0,employed,college,1,single,stable,0,18,low,full_time,1,0.6581914
35,1,unemployed,high_school,0,single,stable,0,11,high,full_time,1,0.8157556
29,0,employed,high_school,1,single,stable,0,26,medium,full_time,1,0.6073407
22,3,unemployed,high_school,0,single,stable,0,29,high,full_time,1,0.9105713
30,2,unemployed,high_school,0,married,stable,0,22,medium,full_time,1,0.7167654
24,0,unemployed,none,1,married,stable,0,14,medium,unemployed,1,0.8712947
37,1,employed,college,1,single,stable,0,19,high,full_time,0,0.4725786
28,3,unemployed,high_school,0,single,unstable,0,21,low,full_time,1,0.9861059
23,2,employed,high_school,1,married,stable,0,26,low,full_time,1,0.58273697
27,1,employed,college,0,single,stable,0,15,low,part_time,1,0.8906997
33,3,unemployed,high_school,1,single,stable,0,12,high,full_time,1,0.947172
25,4,employed,high_school,0,single,stable,0,24,medium,part_time,1,0.9821279
23,0,unemployed,high_school,0,married,stable,0,16,medium,full_time,0,0.6037028
31,1,employed,none,0,married,stable,0,15,medium,part_time,0,0.36523652
31,1,employed,none,0,married,stable,0,13,medium,unemployed,0,0.3284151
25,2,unemployed,high_school,0,married,stable,1,28,medium,full_time,1,0.9384791
26,2,employed,college,0,married,stable,0,14,medium,full_time,0,0.70393986
31,0,employed,college,0,single,stable,0,12,high,full_time,0,0.5568102
18,2,unemployed,high_school,0,married,unstable,1,18,low,unemployed,1,0.9925679
18,0,employed,none,0,single,stable,0,15,low,full_time,1,0.9154627
24,4,unemployed,none,0,married,stable,0,22,medium,part_time,1,0.9864261
28,1,employed,college,0,married,stable,0,29,medium,unemployed,0,0.079794616
32,5,unemployed,high_school,1,married,stable,0,13,medium,part_time,1,0.9893315
41,1,unemployed,high_school,1,single,stable,0,11,medium,full_time,1,0.8943528
36,1,unemployed,college,1,single,stable,0,13,low,full_time,1,0.93405116
28,0,employed,college,0,married,unstable,0,17,medium,unemployed,1,0.4230241
29,1,unemployed,college,1,married,stable,0,22,medium,unemployed,1,0.80733216
21,2,unemployed,none,0,married,stable,0,19,low,unemployed,1,0.9353057
29,0,unemployed,college,0,single,unstable,0,27,medium,unemployed,1,0.8817824
27,3,employed,college,0,married,unstable,0,18,medium,unemployed,1,0.95772433
32,4,unemployed,high_school,1,married,stable,0,10,medium,part_time,1,0.9891025
23,2,unemployed,high_school,0,married,stable,0,22,low,unemployed,1,0.89664173
34,5,employed,high_school,0,married,stable,0,27,high,full_time,1,0.88883626
42,2,employed,college,0,married,stable,0,24,medium,part_time,1,0.26342148
29,3,unemployed,none,1,married,stable,0,11,low,full_time,1,0.96749485
33,1,employed,high_school,0,married,stable,1,20,medium,full_time,1,0.72796243
35,2,unemployed,none,0,divorced,unstable,0,23,high,unemployed,1,0.9760709
26,0,unemployed,college,0,single,stable,0,24,medium,full_time,1,0.43439433
31,3,unemployed,none,0,single,stable,0,23,high,full_time,1,0.85140383
30,1,employed,high_school,0,divorced,stable,0,25,low,full_time,0,0.29417175
30,3,employed,high_school,0,married,unstable,0,24,high,unemployed,1,0.82418513
23,3,unemployed,college,1,married,stable,0,28,medium,part_time,1,0.8384405
30,1,employed,high_school,0,single,stable,1,18,low,part_time,1,0.93384415
33,3,unemployed,none,0,single,stable,0,14,medium,full_time,1,0.8466094
41,0,employed,college,0,married,stable,0,14,high,full_time,0,0.17835608
37,1,employed,high_school,0,married,stable,0,20,medium,full_time,0,0.14376529
